"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Source"
"Biswas B.; Mukhopadhyay A.; Kumar A.; Delen D.","Biswas, Baidyanath (7103207977); Mukhopadhyay, Arunabha (7201817059); Kumar, Ajay (58366145000); Delen, Dursun (55887961100)","7103207977; 7201817059; 58366145000; 55887961100","A hybrid framework using explainable AI (XAI) in cyber-risk management for defence and recovery against phishing attacks","2024","Decision Support Systems","177","","114102","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174589137&doi=10.1016%2fj.dss.2023.114102&partnerID=40&md5=ec318d316889b942498176b39e5c8d81","Phishing and social engineering contribute to various cyber incidents such as data breaches and ransomware attacks, financial frauds, and denial of service attacks. Often, phishers discuss these attack vectors in dark forums. Further, the probability of phishing attacks and the subsequent loss suffered by the firm are highly correlated. In this context, we propose a hybrid framework using explainable AI techniques to assess cyber-risks generated from correlated phishing attacks. The first phase computes the probability of expert phishers within a community of similar attackers with varying expertise. The second phase calculates the probability of phishing attacks upon a firm even after it has invested in IT security and adopted regulatory steps. The third phase categorises phishing and genuine URLs using various machine-learning-based classifiers. Next, it estimates the joint distribution of phishing attacks using an exponential-beta distribution and quantifies the expected loss using Archimedean Copula. Finally, we offer recommendations for firms through the computation of optimal investments in cyber-insurance versus IT security. First, based on the risk attitude of a firm, it can use this explainable-AI (XAI) framework to optimally invest in building security into its enterprise architecture and plan for cyber-risk mitigation strategies. Second, we identify a long-tail phenomenon demonstrated by the losses suffered during most cyber-attacks, which are not one-off incidents and are correlated. Third, contrary to the belief that cyber-insurance markets are ineffective, it can guide financial firms to design realistic cyber-insurance products. © 2023 Elsevier B.V.","Bivariate distributions; Copula; Cyber insurance; Explainable AI; Information security","Crime; Cybersecurity; Denial-of-service attack; Investments; Malware; Network security; Product design; Risk assessment; Risk management; Bivariate distribution; Copula; Cybe insurance; Explainable AI; Hybrid framework; IT security; Phishers; Phishing; Phishing attacks; Risks management; Insurance","Article","Final","Scopus"
"Jarjoui S.; Murimi R.; Murimi R.","Jarjoui, Samir (57245302600); Murimi, Robert (57245391300); Murimi, Renita (55191236400)","57245302600; 57245391300; 55191236400","Hold My Beer: A Case Study of how Ransomware Affected an Australian Beverage Company","2021","2021 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, CyberSA 2021","","","9478239","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114206765&doi=10.1109%2fCyberSA52016.2021.9478239&partnerID=40&md5=6f9bc4ece0f634c2990d962b1d41e0eb","This case study follows the cybersecurity attack that impacted Lion, a large Australian beverage company with a portfolio of brands in beer, milk, wine, and other products. The ransomware attack, which impacted Lion in different phases, took place during a time of strained resources and increased restrictions due to the COVID-19 pandemic. This paper provides an overview of the warnings, events, and incidents leading up to the cyberattacks, and describes the impact to the company's operations. This case shows the parallel and connected challenges that the company faced in dealing with the ransomware and the pandemic's impact. While the cyber incidents had a significant impact on Lion's operations, the organization appeared to recover from it and resume operations. The case is suitable for students and practitioners interested in cybersecurity or information systems topics and presents the compounded impacts of cyberattacks and the COVID-19 pandemic on firms. © 2021 IEEE.","case-study; COVID-19; cybersecurity; Lion Australia; ransomware; REvil exploits","Beer; Cyber security; Cyber-attacks; Malware","Conference paper","Final","Scopus"
"Sarowa S.; Bhanot B.; Kumar V.; Kumar M.","Sarowa, Sandeep (57189222987); Bhanot, Bhisham (57211286891); Kumar, Vijay (58164638300); Kumar, Munish (58591515100)","57189222987; 57211286891; 58164638300; 58591515100","Analysis of Attack Patterns and Cyber Threats in Healthcare Sector","2023","Proceedings - IEEE International Conference on Device Intelligence, Computing and Communication Technologies, DICCT 2023","","","","160","165","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159287604&doi=10.1109%2fDICCT56244.2023.10110141&partnerID=40&md5=f987d1b6470a420e5b642e0ffbd21bea","Information Technology (IT) has become the integral part of majority of businesses. Healthcare sector is also one such sector where IT adoption is increased in recent times. This adoption of IT has increased the internet exposure and hence increased the attack surface of the organisations working in healthcare sector. During covid outbreak, we have observed various cyber-attack and threats on organisations operating in healthcare sector. This paper focuses on cyber threat pattern in healthcare sector during covid-19 outbreak and post-covid-19 period. This research paper also aims to generate basic cyber awareness through generic cyber sanity checks to secure healthcare sector from malicious threat actors. The adaptation of proactive measures required to enhance the cyber hygiene of organisations becomes very essential in this sector. © 2023 IEEE.","cyber security; cyber threats; ICT; ransomware","Health care; Malware; Attack patterns; Cyber security; Cyber threats; Cyber-attacks; Healthcare sectors; ICT; Information technology adoption; Integral part; Research papers; Sanity check; Cybersecurity","Conference paper","Final","Scopus"
"Kumar S.; Gaur M.S.; Sagar Sharma P.; Sagar V.","Kumar, Sanjeev (57301725300); Gaur, Madhu Sharma (56513549400); Sagar Sharma, Prem (57219242682); Sagar, Vikas (56538095400)","57301725300; 56513549400; 57219242682; 56538095400","Post Pandemic Cyber Attacks Impacts and Countermeasures: A Systematic Review","2023","2023 International Conference on Artificial Intelligence and Smart Communication, AISC 2023","","","","192","199","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153498104&doi=10.1109%2fAISC56616.2023.10084978&partnerID=40&md5=9adf3a7a362e509ea98597091e606843","COVID-19 is one of the deadliest pandemics of this century's that affected the whole world. As the COVID-19 spread the government had to impose lockdown that pushed the people to follow some new lifestyle like social distancing, work from home, hand washing, and the country have to shut down industries, businesses and public transport. At the same time, doctors were occupied in saving life's and on other side cyber criminals were busy taking this situation as advantage, which creates an another silent pandemic i.e. cyber-security pandemic. During this pandemic with overloaded ICT infrastructure, cyber space was gaining attention of more cyber attacker and number of attacks/threats increased exponentially. This is one of the rapidly growing global challenges for industry as well as for human life. In this paper a systematic surveys and review is done on recent trends of cyber security attacks during and post COVID-19 pandemic and their countermeasures. The relevant information has been collected from different trusted sources and impact landscape discussed with importance of cyber security education and future research challenges highlights.  © 2023 IEEE.","COVID-19; Cyber Attacks; Phishing attacks; Ransomware Attacks; Security Threats; Social Engineering","Crime; Cybersecurity; Malware; Network security; Cyber criminals; Cyber security; Cyber-attacks; Hand washing; Phishing attacks; Public transport; Ransomware attack; Security threats; Social engineering; Systematic Review; COVID-19","Conference paper","Final","Scopus"
"Moorthy R.S.S.; Nathiya N.","Moorthy, R. Sri Skandha (58416328500); Nathiya, N. (57194223367)","58416328500; 57194223367","Botnet Detection Using Artificial Intelligence","2022","Procedia Computer Science","218","","","1405","1413","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151407331&doi=10.1016%2fj.procs.2023.01.119&partnerID=40&md5=e51efe904d61b82f1119f3e164ca6468","In the year 2021 more than 80 million data were breached by cyber attackers. Most of these attacks were executed as a type of ransomware attack and cyber-attack. There are different methods performed by attackers to target individual user, but to breach an organization, they use Botnet forces. A botnet (robot network), is malware infected network that is controlled by a single attacker called bot-herder. Cyber-attacker attacks many users with their malware script by different mediums like emails, spams and takes command and control (CC) of the victim device. Using these devices attacker forms a network and performs large attack like distributed denial-of-service (DDoS), attack on an organization to breach data. The complex analysis for cybersecurity analyst is to find bot-herder and the infected network. The structures of the botnets are become very different now days. Botnets can be found with its peer-peer (p2p) structure, signature detection, behavioral analysis, domain names (DNS) and network traffic. To make this different feature analysis easier, the usage of artificial intelligence (AI) is introduced in cyber security. Data from previous attacks are collected, trained using a model which helps in prediction of future attacks. Detection of DNS of core CC servers using AI are widely used nowadays. This research mainly focuses on detection of botnet malware from the net flows of malware packets. The botnet attack data set are collected from resources like Czech-university (CTU-13), Information security and object technology (ISOT). The bi-directional net flow data and the calculation of the network packets are used. Using algorithms like support vector machine (SVM), decision tree and multi-layer perceptron, the data set is trained and tested. After the training and testing, the decision tree model has good accuracy and performance metrics of 92%. This model is considered as a best fit model and helps in detection the of malware packets. The research's objective is to build an alerting system which reports once a malware packet is intruded into a network. © 2023 The Authors. Published by Elsevier B.V.","Artificial Intelligence; Bi- directional Flows; Botnets; Command Control; Cyber Security; Cyber-attacks; Deep Learning; Packets","Cybersecurity; Decision trees; Deep learning; Denial-of-service attack; Internet protocols; Malware; Network security; Support vector machines; Bi-directional flows; Botnets; Command and control; Command control; Cyber attackers; Cyber security; Cyber-attacks; Deep learning; Malwares; Packet; Botnet","Conference paper","Final","Scopus"
"Musa M.A.; Gital A.Y.; Ibrahim K.M.; Chiroma H.; Abdulrahman M.L.; Umar I.M.","Musa, Maryam Abdullahi (57226846567); Gital, Abdulsalam Ya'U (56077965400); Ibrahim, Kabiru Musa (57362212300); Chiroma, Haruna (55583663400); Abdulrahman, Mustapha Lawal (57362416800); Umar, Ibrahim Muhammad (57511876700)","57226846567; 56077965400; 57362212300; 55583663400; 57362416800; 57511876700","A Review of Data-Driven Approaches with Emphasis on Machine Learning Base Intrusion Detection Algorithms","2022","Proceedings of the 5th International Conference on Information Technology for Education and Development: Changing the Narratives Through Building a Secure Society with Disruptive Technologies, ITED 2022","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149960174&doi=10.1109%2fITED56637.2022.10051518&partnerID=40&md5=bf2afe67f27a61babb4fcc977897a886","The importance of the internet across the globe cannot be over-emphasized as such network security is essential to curb future attack occurrences. Cyber-attacks like DDoS and Ransomware yielded a lot of damage to connected devices by endangering and accessing them, notwithstanding these damages are air marked to be on the rise. To overcome these issues, machine learning has been used in different computing aspects such as cyber-Intrusion Detection. Recently, deep learning, extreme learning, and deep extreme learning networks have superseded machine learning in this context due to their iterative hidden layers that can manipulate complex features of cyber intrusion data. Hence, this research surveys the application of data-driven intelligent algorithms for cyber security attack detection in comparison to conventional machine learning techniques. The review focuses on the performance evaluation of several state-of-the-art intelligent algorithms and provides research gaps and future 2trends in the context of Data Security Attacks and Cyber Intrusion Detection. © 2022 IEEE.","Artificial intelligence; Deep learning; Machine learning; Network intrusion detection","Cybersecurity; Deep learning; Iterative methods; Knowledge acquisition; Learning algorithms; Learning systems; Malware; Network security; Cyber intrusion; Data-driven approach; Deep learning; Intelligent Algorithms; Intrusion detection algorithms; Intrusion-Detection; Machine-learning; Network intrusion detection; On-machines; Security attacks; Intrusion detection","Conference paper","Final","Scopus"
"Lazrek G.; Chetioui K.; Balboul Y.","Lazrek, Ghita (58697307700); Chetioui, Kaouthar (55934103900); Balboul, Younes (57215319916)","58697307700; 55934103900; 57215319916","Enhancing IoMT Security: A Conception of RFE-Ridge and ML/DL for Anomaly Intrusion Detection","2024","Lecture Notes in Networks and Systems","838 LNNS","","","442","447","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184810330&doi=10.1007%2f978-3-031-48573-2_63&partnerID=40&md5=8bfd58a421afa9fc6725ec87522d162e","The outbreaks of smart cities have delivered smart connectivity of numerous Internet of Things (IoT) resulting in the boom of the Internet of Medical Things (IoMT), which delivers enhanced treatments and improves patient healthcare. However, the 2017 “WannaCry” ransomware cyber-attack in the United Kingdom compromised privacy and suspended operations at 48 healthcare providers. Despite the mammoth demand for IoMT devices, cyber-assaults on connected healthcare systems can threaten patient’s lives and can also tamper healthcare data. This paper proposes a conception of RFE-Ridge feature selection empowered with Machine/Deep learning models for implementing a viable intrusion detection in the IoMT system, meanwhile, a comparison between ML/DL models was conducted in terms of advantages and limitations. It is noteworthy that the proposed framework can be employed to construct an effective Intrusion Detection System (IDS) that strengthens the security of the IoMT against pervasive cyber-attacks. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Anomaly intrusion detection system (AIDS); Internet of medical things (IoMT); Securing","Crime; Cybersecurity; Health care; Internet of things; Intrusion detection; Malware; Anomaly intrusion detection; Anomaly intrusion detection system; Connected healthcares; Cyber-attacks; Health care providers; Internet of medical thing; Intrusion Detection Systems; Securing; Suspended operations; United kingdom; Network security","Conference paper","Final","Scopus"
"Anand C.S.; Shanker R.","Anand, C.S. (57205630991); Shanker, Ravi (57644920700)","57205630991; 57644920700","Advancing Crypto Ransomware with Multi Level Extortion: A Peril to Critical Infrastructure","2023","2023 2nd International Conference for Innovation in Technology, INOCON 2023","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158016326&doi=10.1109%2fINOCON57975.2023.10100971&partnerID=40&md5=4477530467277a0bd47b0f7aa816e712","The world we are living in now has almost taken entirely into the digital world. Ransomware being a major threat to the security of digital information has now started to shake the economy of nations along with the disruption of essential needs. In the past few decades, there is a tremendous spike in the usage of ransomware for infecting critical infrastructures like hospitals and nuclear power plants causing the services to be encrypted and locked out. Ransom demands are made in huge amounts to obtain the decryption key and to restore the services. Since the discovery of the first ransomware in 1989, the financial loss it has created till now has been tremendous and continues to grow at an exponential rate. Alarmingly, ransomware has changed its pace from a malicious program to a perfect weapon to carry out cyber warfare across the world. Therefore, understanding the latest ransomware trends and securing the data from a ransomware attack is crucial in the current world. This paper aims to highlight the recent advances in ransomware, and its impact on critical infrastructure and focuses on a novel approach to categorize ransomware based on the level of extortion.  © 2023 IEEE.","crypto warfare; crypto-ransomware; cyber security; cyberattack; malware; ransomware; ransomware-as-a-service","Critical infrastructures; Cryptography; Losses; Malware; Nuclear fuels; Nuclear power plants; Public works; Crypto warfare; Crypto-ransomware; Cyber security; Cyber-attacks; Decryption keys; Digital information; Digital world; Malwares; Multilevels; Ransomware-as-a-service; Cybersecurity","Conference paper","Final","Scopus"
"Vilakazi K.; Adebesin F.","Vilakazi, Khanyisile (58311797800); Adebesin, Funmi (55876723200)","58311797800; 55876723200","A Systematic Literature Review on Cybersecurity Threats to Healthcare Data and Mitigation Strategies","2023","EPiC Series in Computing","93","","","240","251","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161673976&doi=10.29007%2fhf15&partnerID=40&md5=9801e320be6762f4863aeafbe10f9fde","The incidence of cyberattacks on healthcare institutions has seen a steady increase over the years, with a massive increase of 42% in 2020. More specifically, INTERPOL reported a substantial increase in ransomware attacks on healthcare institutions at the height of the Covid-19 pandemic. This increase can be attributed to the rise in the adoption of digital technologies, such as the Medical Internet of Things (MIoT), to support healthcare services. The sensitive nature of healthcare data and the volume of data handled by healthcare institutions make them attractive to cybercriminals. When compared to financial data, healthcare data has more value on the dark web. Because a cyberattack on healthcare data could have far-reaching consequences, healthcare institutions should have effective strategies to safeguard unauthorized access. This paper presents the results of a systematic literature review (SLR) that investigated the strategies that can be used to mitigate cybersecurity threats to healthcare data. Forty-one research papers retrieved from three databases were analyzed based on specific inclusion/exclusion criteria. Synthesis of the sources yielded three main themes, namely, (i) emerging technology trends that contribute to cybersecurity vulnerability in the healthcare sector, (ii) current cybersecurity challenges in the healthcare sector, and (iii) cybersecurity countermeasures and mitigation strategies. The research results showed that a holistic approach that incorporates people, technology and adherence to regulations is required to mitigate cybersecurity threats in the healthcare sector. The study has implications for policymakers, vendors/designers of healthcare technologies, and healthcare institution managers. © 2023, EasyChair. All rights reserved.","Cyberattacks; cybersecurity; cybersecurity incidents; healthcare data; mitigation strategies; systematic literature review","Health care; Malware; Cyber security; Cyber-attacks; Cybersecurity incident; Digital technologies; Healthcare data; Healthcare institutions; Healthcare sectors; Mitigation strategy; Systematic literature review; Cybersecurity","Conference paper","Final","Scopus"
"He Y.; Maglaras L.; Aliyu A.; Luo C.","He, Ying (57197817050); Maglaras, Leandros (8313447200); Aliyu, Aliyu (57220373325); Luo, Cunjin (56038908900)","57197817050; 8313447200; 57220373325; 56038908900","Healthcare Security Incident Response Strategy - A Proactive Incident Response (IR) Procedure","2022","Security and Communication Networks","2022","","2775249","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126344669&doi=10.1155%2f2022%2f2775249&partnerID=40&md5=03baa0857becd6ce6660abde8e684895","The healthcare information system (HIS) has become a victim of cyberattacks. Traditional ways to handle cyber incidents in healthcare organizations follow a predefined incident response (IR) procedure. However, this procedure is usually reactive, missing the opportunities to foresee danger on the horizon. Cyber threat intelligence (CTI) contains information on emerging attacks and should be ideally utilized to inform the IR procedure. However, current research shows that the IR has not been effectively informed by CTI, especially in healthcare organizations. This paper fills in this gap by proposing a proactive IR response procedure based on the National Institute of Standards and Technology (NIST) IR methodology. This paper then presents the NHS WannaCry case study to demonstrate the use of the proposed IR methodology. We collate cyber security advisories from different CTI sources such as US/UK CERT to protect interconnected systems and devices from Ransomware attacks. This research provides novel insights into the IR in healthcare through embedding CTI advisories into IR processes and concludes that our proposed IR procedure can be used to counteract WannaCry Ransomware using CTI advisories. It has the significance of transforming the way of IR from reactive to proactive using the CTI in healthcare. Copyright © 2022 Ying He et al.","","Cybersecurity; Information use; Malware; 'current; Case-studies; Cyber security; Cyber threats; Cyber-attacks; Healthcare organizations; Incident response; National Institute of Standards and Technology; Response strategies; Security incident; Health care","Article","Final","Scopus"
"Kumar A.; Sharma I.","Kumar, Atul (58107537700); Sharma, Ishu (57213777393)","58107537700; 57213777393","SecDAN: Prevention of Network Breaches in Defense Area Network Using Machine Learning Techniques","2023","2023 IEEE International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering, RMKMATE 2023","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183561048&doi=10.1109%2fRMKMATE59243.2023.10369804&partnerID=40&md5=e3c9ec21d3e5a89a206c9e68543ac3cd","This abstract summarizes a comprehensive study aimed at improving the safety of Defense Area Networks through the use of advanced machine learning techniques. The suggested model takes a new approach by combining deep learning architectures and anomaly detection methods to detect both established and previously unexpected network intrusions. The study draws on a variety of datasets, including network traffic and security records, and employs thorough data preparation and feature engineering procedures. The accuracy of three important algorithms is rigorously compared Random Forest, and Logistic Regression K-nearest Neighbors. The findings of this study highlight the clear edge of K-nearest Neighbors in terms of overall better performance and technique and analysis. This paper contributes to network security by proposing a comprehensive model tailored to the complexities of Defense Area Networks, hence increasing the resistance against network breaches. In the modern interconnected digital environment, the susceptibility to network breaches is particularly pronounced. These breaches, often referred to as cyberattacks or data breaches, undermine the security of information confidentiality, integrity, and accessibility by unauthorized entry into systems, networks, or private data repositories. Cybercriminals deploy a diverse array of sophisticated techniques, encompassing malicious software, phishing, ransomware, and social manipulation, to infiltrate corporate networks and abscond with sensitive data. The expanding realm of technological advancement correlates with the escalating risk of network breaches, underscoring the imperative for robust cybersecurity strategies, continuous monitoring, and swift incident response. © 2023 IEEE.","Cyber Attack; Decision Tree; Logistic Regression; Machine Learning Model; Malicious; Network Breach Detection; Random Forest; Security; Techniques","","Conference paper","Final","Scopus"
"Nobles C.; Robinson N.; Cunningham M.","Nobles, Calvin (57194018033); Robinson, Nikki (57219496169); Cunningham, Margaret (57918589100)","57194018033; 57219496169; 57918589100","Straight From the Human Factors Professionals' Mouth: The Need to Teach Human Factors in Cybersecurity","2022","SIGITE 2022 - Proceedings of the 23rd Annual Conference on Information Technology Education","","","","157","158","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139440415&doi=10.1145%2f3537674.3555782&partnerID=40&md5=1be03e15810aabe0750434ea02735acc","Colleges and universities are vital for integrating the human factors discipline in cybersecurity courses. Human errors, limitations, and weaknesses contribute to data breaches, ransomware attacks, and cyber-attacks. The cybersecurity community struggles to leverage human factors as a scientific discipline to eradicate human-related issues. Problems regarding the human element in cybersecurity require curricula focusing on the scientific aspects of human factors to teach human factors principles. As people and technology are increasingly interdependent, students interested in pursuing careers in technology must have a foundational understanding of people and their interactions with technology. While human factors is the discipline, human factors engineering is the work of leveraging human factors principles to improve the integration between humans and systems. Through various venues, educational initiatives, and research, academia can systematically link the science of human factors with cybersecurity. Colleges and universities are a centric node to educate industry, academia, and government leaders on the value of human factors engineering in cybersecurity. Through scholarly research, partnerships with government and industry, and a developing human factors curriculum, academia can influence business decision-makers to leverage human factors engineering with the same rigor and affinity for cybersecurity, software, and network engineering. This panel serves as a platform to increase awareness and the significance of integrating human factors courses into cybersecurity curricula that are taught by faculty members with proper credentials and industry experience.  © 2022 Owner/Author.","Curriculum; Cybersecurity; Human Factors","Cybersecurity; Decision making; Engineering education; Human engineering; Malware; Network security; Colleges and universities; Cyber security; Cyber-attacks; Error limitation; Government leaders; Human errors; Human factor engineerings; Industry government; Scholarly research; Scientific discipline; Curricula","Conference paper","Final","Scopus"
"Siddiq M.A.A.; Arifuzzaman M.; Islam M.S.","Siddiq, Md. Abu Ashraf (58830222300); Arifuzzaman, Mohammad (56412835700); Islam, M.S. (57225016855)","58830222300; 56412835700; 57225016855","Phishing Website Detection using Deep Learning","2022","ACM International Conference Proceeding Series","","","","83","88","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136824000&doi=10.1145%2f3542954.3542967&partnerID=40&md5=ff5c21c7d4a4ce928372b6d400dd9158","Phishing attack is a type of cyber-attack where attacker sends fraudulent (spoofed, fake or deceptive) messages designed to lure a human victim to give away personal information or credentials or to deploy malicious software in victim's infrastructure like ransomware. As Internet usage is increasing day by day so are the cyber-crimes and scams. Phishing is one of the latest sophisticated techniques used by the scammers. Phishing website detection can help the users to avoid falling victim to these attacks. Although phishing websites are disguised as a legitimate one, fortunately they have some identifiable features. We have proposed a supervised learning approach using deep learning algorithms to detect phishing websites. We have achieved 94.8% accuracy using standard neural network model and achieved 93.6% accuracy with CNN (Conv2D) model. We have used a dataset downloaded from University of California, Irvine machine learning repository.  © 2022 ACM.","CNN; Deep Learning; Neural Network; Phishing","Cybersecurity; Deep neural networks; Fake detection; Information dissemination; Learning algorithms; Learning systems; Websites; Cyber-attacks; Cyber-crimes; Deep learning; Internet usage; Neural-networks; Personal credential; Personal information; Phishing; Phishing attacks; Phishing websites; Malware","Conference paper","Final","Scopus"
"Osmei T.; Ali M.","Osmei, Tea (58627416800); Ali, Maaruf (55470911800)","58627416800; 55470911800","Hands-on Cyber Risk Management Scepticism","2023","Proceedings - 2023 International Conference on Computing, Electronics and Communications Engineering, iCCECE 2023","","","","89","94","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172873418&doi=10.1109%2fiCCECE59400.2023.10238544&partnerID=40&md5=100b270581021242f438f59eebfb1303","In a computer network, risk is understood by the security network engineer as exposing the corporate network to an activity/event with undesirable consequences. The approach proposed in this research is to analyse the cyber risk and then manage it. This paper presents the challenges needed to be undertaken when analysing risk from an organisational point of view and as well as the steps needed to be scrutinised in terms of protection from the IT perspective. Depending on the risk scenario, we choose to manage risk in our favour, either minimising it, accepting it or avoiding it. Despite the risk-based scenario, protection must always be in place. It is recommended to increase data back-up strategies and use an external Managed Detection and Response provider to combat the increasing ransomware-As-A-service cyber-Attacks affecting all scales of networks. The conclusion is the use of AI with human intervention to ensure accurate and timely hands-on cyber risk management.  © 2023 IEEE.","AI; deep learning; identity and access management; ransomware-As-A-service; risk management","Cybersecurity; Deep learning; Malware; Network security; Risk perception; Corporate networks; Deep learning; Identity and access managements; Network engineers; Network risks; Organisational; Ransomware-as-A-service; Risks management; Risks scenarios; Security networks; Risk management","Conference paper","Final","Scopus"
"Scherb C.; Bryan L.; Grimberg F.; Grieder H.; Maurer M.","Scherb, Christopher (56871206800); Bryan, Luc (58311761600); Grimberg, Frank (57201119106); Grieder, Hermann (58176961200); Maurer, Marcel (58306700900)","56871206800; 58311761600; 57201119106; 58176961200; 58306700900","A Cyberattack Simulation for Teaching Cybersecurity","2023","EPiC Series in Computing","93","","","129","140","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161643037&doi=10.29007%2fdkdw&partnerID=40&md5=2e2bb8f879784466c42c559351e22773","With the rising number of cyberattacks, such as ransomware attacks and cyber espionage, educating non-cybersecurity professionals to recognize threats has become more important than ever before. However, traditional training methods, such as phishing awareness campaigns, training videos and assessments have proven to be less effective over time. Therefore, it is time to rethink the approach on how to train cyber awareness. In this paper we suggest an alternative approach – a serious game – to educate awareness for common cyberattacks. While many serious games for cybersecurity education exist, all follow a very similar approach: showing people the effects of a cyber attack on their own system or company network. For example, one of the main tasks in these games is to sort out phishing mails. We developed and evaluated a new type of cybersecurity game: an attack simulator, which shows the entire setting from a different perspective. Instead of sorting out phishing mails the players should write phishing mails to trick potential victims and use other forms of cyberattacks. Our game explains the intention of each attack and shows the consequences of a successful attack. This way, we hope, players will get a better understanding on how to detect cyberattacks. © 2023, EasyChair. All rights reserved.","Awareness; Cyber Security; Education; Phishing; Serious Game","Malware; Serious games; Awareness; Awareness campaigns; Company network; Cyber security; Cyber-attack simulation; Cyber-attacks; Cyber-security educations; Phishing; Systems networks; Training methods; Cybersecurity","Conference paper","Final","Scopus"
"Janet B.; Nikam A.; Kumar R J.A.","Janet, B. (35786218500); Nikam, Ankur (57645651300); Kumar R, Joshua Arul (55440124200)","35786218500; 57645651300; 55440124200","Real Time Malicious URL Detection on twitch using Machine Learning","2022","Proceedings of the International Conference on Electronics and Renewable Systems, ICEARS 2022","","","","1185","1189","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128964571&doi=10.1109%2fICEARS53579.2022.9751862&partnerID=40&md5=1f5c3a604bc82fe9d23a0565f0c8bf43","Live streaming systems like twitch enable broadcasters to live stream content to a huge audience. The Chatrooms are an important part of Twitch, allowing users to interact with the broadcaster, and among themselves freely. This means that these chatrooms are an ideal place for cybercrime attack and get sensitive information of the twitch user with the help of a malicious Uniform Resource Locators (URL). Harmful websites are responsible for a number of online cyber-attacks and scams today. The attacker tries to persuade unsuspecting twitch users to click on harmful URLs via Twitch Chatroom. Clicking on these URLs may result in the e-mail spam, the introduction of phishing scams, and the download of malicious software, adware, and ransomware, which may result in significant financial losses. As a result, it is very important to detect and prevent these threats effectively.The most common and fastest way to find malicious URLs is to help compare the URLs to the restricted list. However, blocking lists lack the ability to remove reproduced URLs. Unable to detect new bugs in the invisible URL of a strategy based on a completely restricted list, the machine-based reading strategy is integrated here to mitigate the above mentioned threats. The method uses lexical and semantic features extracted from a series of URLs, this feature extraction method is very secure and fast as it does not involve high computation as real-time protection is required. © 2022 IEEE.","chat room; Cyber security; lexical and semantic features; Machine Learning; Malicious URL; Natural Language Processing","Crime; Feature extraction; Learning algorithms; Losses; Malware; Natural language processing systems; Network security; Semantics; Chat rooms; Cyber security; Cyber-crimes; Lexical features; Live streaming; Machine-learning; Malicious uniform resource locator; Real- time; Semantic features; Streaming systems; Cybersecurity","Conference paper","Final","Scopus"
"Mohamad Al-Aboosi A.M.; Huda Sheikh Abdullah S.N.; Murah M.Z.; Al Dharhani G.S.","Mohamad Al-Aboosi, Ahmad Mustafa (57223023439); Huda Sheikh Abdullah, Siti Norul (57223013866); Murah, Mohd Zamri (49361792100); Al Dharhani, Ghassan Saleh (55877008300)","57223023439; 57223013866; 49361792100; 55877008300","Cybersecurity Trends in Health Information Systems","2022","International Conference on Cyber Resilience, ICCR 2022","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146488289&doi=10.1109%2fICCR56254.2022.9995952&partnerID=40&md5=36e96e15ee0e0269ce4ee4e0635140fd","Health information systems are vulnerable to cyber attacks, which is expected to increase exponentially. Cyber attacks with different attack techniques present great difficulties for professionals who have been exploring techniques to overcome security weaknesses. The aim of this paper is to examine cybersecurity trends in health information systems, including current threats and their relevance to health information systems. The article focuses on common threats from cyber attacks, such as ransomware, Denial of Service (DDoS) attacks, and Denial of Service (DoS). Secondly, we propose mitigation processes to reduce or eliminate the risk of cyber attacks. A security assessment can be performed to determine the risks of cyber attacks. The health organization must classify the risk according to criticality, determine the main cause of the risk, and recommend appropriate procedures and security controls. Health organizations should do more to support their cybersecurity programs. © 2022 IEEE.","cyberattacks; cybersecurity; healthcare information system","Crime; Denial-of-service attack; Health risks; Information systems; Information use; Malware; Network security; Risk assessment; 'current; Cyber security; Cyber-attacks; DDoS Attack; Denial of Service; Different attacks; Health information systems; Health organizations; Healthcare information system; Security weakness; Cybersecurity","Conference paper","Final","Scopus"
